DataJamID,RECORD_ID,YEAR,MONTH,Gas_USE_kBtu
152,620464,2010,06,2500
152,620465,2010,08,2600
152,620466,2010,09,1400
152,620467,2010,10,1400
152,620468,2010,11,3800
152,620469,2010,12,12900
158,620470,2010,01,10500
158,620471,2010,02,600
158,620472,2010,03,3100
158,620473,2010,04,1200
158,620474,2010,05,200
158,620475,2010,06,800
158,620476,2010,07,500
158,620477,2010,08,900
158,620478,2010,09,1200
158,620479,2010,10,1300
158,620480,2010,11,1600
158,620481,2010,12,4700
160,620482,2010,01,15600
160,620483,2010,02,8100
160,620484,2010,03,9600
160,620485,2010,04,2300
160,620486,2010,05,1500
160,620487,2010,06,1500
160,620488,2010,07,1400
160,620489,2010,08,900
160,620490,2010,09,1000
160,620491,2010,10,1200
160,620492,2010,11,1800
160,620493,2010,12,7000
161,620494,2010,01,9700
161,620495,2010,02,8400
161,620496,2010,03,6400
161,620497,2010,05,1200
161,620498,2010,06,3300
161,620499,2010,08,3000
161,620500,2010,09,1900
161,620501,2010,10,2000
161,620502,2010,11,2200
161,620503,2010,12,10200
162,620504,2010,01,7000
162,620505,2010,02,6100
162,620506,2010,03,4200
162,620507,2010,05,1000
162,620508,2010,06,1300
162,620509,2010,08,1200
162,620510,2010,09,700
162,620511,2010,10,500
162,620512,2010,11,1900
162,620513,2010,12,5200
177,620514,2010,01,10700
177,620515,2010,02,5100
177,620516,2010,03,8000
177,620517,2010,04,2400
177,620518,2010,05,1700
177,620519,2010,06,1600
177,620520,2010,07,1500
177,620521,2010,08,1500
177,620522,2010,09,2100
177,620523,2010,10,800
177,620524,2010,11,1600
177,620525,2010,12,4300
178,620526,2010,01,19800
178,620527,2010,02,11300
178,620528,2010,03,15200
178,620529,2010,04,6700
178,620530,2010,05,600
178,620531,2010,06,200
178,620532,2010,07,100
178,620533,2010,08,100
178,620534,2010,09,100
178,620535,2010,10,100
178,620536,2010,11,900
178,620537,2010,12,11400
184,620538,2010,01,6400
184,620539,2010,02,2100
184,620540,2010,03,5900
184,620541,2010,12,1500
187,620542,2010,01,7700
187,620543,2010,02,9600
187,620544,2010,03,9200
187,620545,2010,04,4200
187,620546,2010,05,500
187,620547,2010,06,200
187,620548,2010,08,100
187,620549,2010,09,100
187,620550,2010,10,100
187,620551,2010,11,300
187,620552,2010,12,2000
188,620553,2010,01,6100
188,620554,2010,02,8900
188,620555,2010,03,8700
188,620556,2010,04,6000
188,620557,2010,05,1900
188,620558,2010,06,1600
188,620559,2010,07,1500
188,620560,2010,08,1500
188,620561,2010,09,1500
188,620562,2010,10,1600
188,620563,2010,11,1700
188,620564,2010,12,4400
189,620565,2010,01,7800
189,620566,2010,02,4200
189,620567,2010,03,9300
189,620568,2010,04,3200
189,620569,2010,05,1000
189,620570,2010,06,700
189,620571,2010,07,500
189,620572,2010,08,700
189,620573,2010,09,900
189,620574,2010,10,1200
189,620575,2010,11,1300
189,620576,2010,12,4600
193,620577,2010,01,20000
193,620578,2010,02,8800
193,620579,2010,03,13200
193,620580,2010,04,3000
193,620581,2010,05,600
193,620582,2010,06,600
193,620583,2010,07,500
193,620584,2010,08,100
195,620585,2010,01,2000
195,620586,2010,02,1200
195,620587,2010,03,1800
195,620588,2010,04,1200
195,620589,2010,05,800
195,620590,2010,06,700
195,620591,2010,07,1200
195,620592,2010,08,500
195,620593,2010,09,700
195,620594,2010,10,700
195,620595,2010,11,600
195,620596,2010,12,1300
196,620597,2010,01,13500
196,620598,2010,02,8700
196,620599,2010,03,11200
196,620600,2010,04,4600
196,620601,2010,05,800
196,620602,2010,10,200
196,620603,2010,11,2400
196,620604,2010,12,7000
198,620605,2010,01,20500
198,620606,2010,02,13700
198,620607,2010,03,20800
198,620608,2010,04,6800
198,620609,2010,05,1900
198,620610,2010,06,1300
198,620611,2010,07,1400
198,620612,2010,08,600
198,620613,2010,09,1600
198,620614,2010,10,800
198,620615,2010,11,3700
198,620616,2010,12,14300
204,620617,2010,01,12700
204,620618,2010,02,11300
204,620619,2010,03,7500
204,620620,2010,05,2200
204,620621,2010,06,3900
204,620622,2010,08,3700
204,620623,2010,09,1700
204,620624,2010,10,1600
204,620625,2010,11,3200
204,620626,2010,12,12300
205,620627,2010,01,9000
205,620628,2010,02,7600
205,620629,2010,03,6400
205,620630,2010,05,1200
205,620631,2010,06,2200
205,620632,2010,08,2600
205,620633,2010,09,700
205,620634,2010,10,1000
205,620635,2010,11,3600
205,620636,2010,12,7500
207,620637,2010,01,6300
207,620638,2010,02,1700
207,620639,2010,03,4000
207,620640,2010,04,900
207,620641,2010,05,400
207,620642,2010,06,400
