DataJamID,FACILITYTYPEID,YEARCOMPLETED,CENSUSDIVISIONID,GROSSFLOORAREA,NUMFLOORS,WALLTYPEID,WINDOWGLASSTYPE,ATTICINSTHICKNESS,WALLINSTHICKNESS,ZIPCODE,CLIMATEZONEID,ASSET_HEATING_FUEL_ID,HEATING_SYS,HEATINGSYST_EFF,HEATINGSYST_EFF_FLAG,ASSET_COOLING_FUEL_ID,COOLING_SYS,COOLINGSYST_EFF,COOLINGSYST_EFF_FLAG
21043,1,1972,,4577,2,,,,,32608,,2,4,,,2,19,6,
21044,1,1985,,2536,3,,,,,32606,,2,4,,,2,19,7,
21045,1,2005,,1112,1,,,,,32608,,2,4,,,2,19,12,
21046,1,1980,,1164,1,,,,,32653,,2,4,,,2,19,13,
21047,1,1978,,1158,1,,,,,32653,,2,4,,,2,19,6,
21048,1,2004,,3867,2,,,,,32653,,2,4,,,2,19,10,
21049,1,1984,,1150,1,,,,,32653,,2,4,,,2,19,7,
21050,1,1982,,1606,1,,,,,32653,,2,4,,,2,19,7,
21051,1,1978,,1404,1,,,,,32653,,2,4,,,2,19,6,
21052,1,1978,,944,1,,,,,32653,,2,4,,,2,19,6,
21053,1,2001,,5905,2,,,,,32653,,2,4,,,2,19,10,
21054,1,1980,,1425,1,,,,,32653,,2,4,,,2,19,13,
21055,1,1987,,1504,1,,,,,32653,,2,4,,,2,19,8,
21056,1,1999,,2591,1,,,,,32605,,2,4,,,2,19,10,
21057,1,1982,,1481,1,,,,,32653,,2,4,,,2,19,7,
21058,1,1975,,2872,2,,,,,32641,,2,4,,,2,19,6,
21059,1,2000,,2408,1,,,,,32608,,2,4,,,2,19,10,
21060,1,1994,,2435,1,,,,,32653,,2,4,,,2,19,10,
21061,1,1971,,2855,1,,,,,32641,,2,4,,,2,19,6,
21062,1,1979,,1296,1,,,,,32653,,2,4,,,2,19,6,
21063,1,1979,,1176,1,,,,,32653,,2,4,,,2,19,6,
21064,1,1981,,2224,3,,,,,32606,,2,4,,,2,19,7,
21065,1,1982,,1626,3,,,,,32653,,1,1,,,2,19,7,
