DataJamID,YEAR,AnnualElec_kWh
228,2010,18374
231,2010,12350
232,2010,9071
233,2010,5904
234,2010,21618
235,2010,4894
236,2010,8098
237,2010,11350
238,2010,13897
239,2010,16703
240,2010,19001
241,2010,10968
242,2010,12130
245,2010,21792
246,2010,9532
247,2010,9737
248,2010,3606
249,2010,17612
250,2010,6929
251,2010,50102
252,2010,3752
253,2010,4537
254,2010,8792
255,2010,16161
256,2010,11052
257,2010,23181
258,2010,23286
259,2010,11609
260,2010,15825
261,2010,3359
262,2010,9179
263,2010,25826
264,2010,23435
265,2010,12038
266,2010,15794
267,2010,8280
268,2010,15621
269,2010,9507
270,2010,13891
271,2010,9822
272,2010,7650
273,2010,20890
274,2010,14127
275,2010,6329
276,2010,15491
277,2010,20183
278,2010,10538
279,2010,12859
280,2010,13879
281,2010,16682
282,2010,38891
283,2010,10368
284,2010,7989
285,2010,12872
286,2010,16546
287,2010,9916
288,2010,9319
289,2010,15764
290,2010,18879
291,2010,16778
292,2010,20610
293,2010,5766
294,2010,5138
295,2010,11750
296,2010,14827
297,2010,13250
298,2010,16831
299,2010,8076
300,2010,16146
301,2010,10460
302,2010,33590
303,2010,14830
304,2010,10776
305,2010,9679
307,2010,20096
308,2010,14389
309,2010,11113
310,2010,9773
311,2010,16822
312,2010,12588
313,2010,22978
314,2010,12071
315,2010,11507
316,2010,9968
317,2010,7772
318,2010,39046
319,2010,19027
320,2010,8985
321,2010,12533
322,2010,13011
323,2010,15457
324,2010,10190
325,2010,11969
326,2010,21558
327,2010,12158
328,2010,4128
329,2010,10951
330,2010,18114
331,2010,13064
332,2010,16866
333,2010,11562
334,2010,10537
335,2010,39868
336,2010,23505
337,2010,21904
338,2010,9518
339,2010,9565
340,2010,16932
341,2010,4809
342,2010,36295
343,2010,11897
344,2010,30953
345,2010,18048
346,2010,14437
347,2010,10402
348,2010,11727
349,2010,13541
350,2010,8315
351,2010,21823
352,2010,9281
353,2010,14726
354,2010,2412
355,2010,18070
356,2010,32658
357,2010,11349
358,2010,8870
359,2010,12551
360,2010,13324
361,2010,7571
362,2010,7501
363,2010,4756
364,2010,9153
365,2010,15501
366,2010,57611
367,2010,8878
368,2010,13727
369,2010,8290
370,2010,17496
371,2010,9314
372,2010,19811
373,2010,11375
374,2010,17273
375,2010,14385
376,2010,13271
377,2010,14635
378,2010,7155
379,2010,12054
380,2010,13838
381,2010,15127
382,2010,7322
383,2010,18337
384,2010,19335
385,2010,20041
386,2010,8412
387,2010,14528
388,2010,9254
389,2010,16207
390,2010,13696
392,2010,10702
393,2010,7277
394,2010,10677
395,2010,19783
396,2010,18669
397,2010,12627
398,2010,8400
399,2010,8477
400,2010,10353
401,2010,4746
402,2010,18555
403,2010,9550
404,2010,8383
405,2010,14647
406,2010,13296
407,2010,8063
408,2010,19859
409,2010,7331
412,2010,13203
413,2010,7802
414,2010,18211
415,2010,10574
416,2010,20731
417,2010,15698
418,2010,13029
419,2010,6851
420,2010,38510
421,2010,11332
422,2010,15245
424,2010,13424
425,2010,13991
427,2010,9737
428,2010,9751
429,2010,15139
430,2010,10502
431,2010,12704
432,2010,17725
433,2010,12443
434,2010,24298
435,2010,18200
436,2010,14179
437,2010,22300
438,2010,25132
439,2010,14211
440,2010,22451
441,2010,21467
